2024-06-20 03:00:00,56,82
2024-06-20 04:00:00,387,0
2024-06-20 05:00:00,109,7
2024-06-20 06:00:00,101,36
2024-06-20 07:00:00,562,1277
2024-06-20 08:00:00,468,19
2024-06-20 09:00:00,1335,14
2024-06-20 10:00:00,141,72
2024-06-20 11:00:00,79,1552
2024-06-20 12:00:00,33,368
2024-06-20 13:00:00,0,1517
2024-06-20 14:00:00,181,62
2024-06-20 15:00:00,4,6
2024-06-20 16:00:00,152,2801
2024-06-20 17:00:00,555,2423
2024-06-20 18:00:00,371,1
2024-06-20 19:00:00,2239,262
2024-06-20 20:00:00,2217,179
2024-06-20 21:00:00,555,4
2024-06-20 22:00:00,1786,187
2024-06-20 23:00:00,0,450
2024-06-21 00:00:00,132,93
2024-06-21 01:00:00,597,41
2024-06-21 02:00:00,83,3
2024-06-21 03:00:00,40,26
2024-06-21 04:00:00,8,0
2024-06-21 05:00:00,452,0
2024-06-21 06:00:00,3796,27
2024-06-21 07:00:00,4,64
2024-06-21 08:00:00,266,14
2024-06-21 09:00:00,1741,0
2024-06-21 10:00:00,43,101
2024-06-21 11:00:00,182,23
2024-06-21 12:00:00,131,0
2024-06-21 13:00:00,3601,17
2024-06-21 14:00:00,3509,70
2024-06-21 15:00:00,3,4628
2024-06-21 16:00:00,94,5
2024-06-21 17:00:00,27,48
2024-06-21 18:00:00,590,45
2024-06-21 19:00:00,1130,162
2024-06-21 20:00:00,26,1814
2024-06-21 21:00:00,871,201
2024-06-21 22:00:00,399,42
2024-06-21 23:00:00,2211,223
2024-06-22 00:00:00,1098,665
2024-06-22 01:00:00,43,834
2024-06-22 02:00:00,139,550
2024-06-22 03:00:00,1837,444
2024-06-22 04:00:00,10,343
2024-06-22 05:00:00,113,830
2024-06-22 06:00:00,988,6
2024-06-22 07:00:00,0,19
2024-06-22 08:00:00,13,160
2024-06-22 09:00:00,20,76
2024-06-22 10:00:00,0,57
2024-06-22 11:00:00,0,536
2024-06-22 12:00:00,50,700
2024-06-22 13:00:00,190,162
2024-06-22 14:00:00,1050,2
2024-06-22 15:00:00,1,86
2024-06-22 16:00:00,14,8
2024-06-22 17:00:00,25,1
2024-06-22 18:00:00,74,162
2024-06-22 19:00:00,26,7
2024-06-22 21:00:00,0,112
2024-06-22 21:00:00,0,112
2024-06-22 22:00:00,10,1
2024-06-22 23:00:00,31,27
2024-06-23 01:00:00,76,0
2024-06-23 01:00:00,76,0
2024-06-23 02:00:00,1598,0
2024-06-23 03:00:00,26,0
2024-06-23 04:00:00,24,3
2024-06-23 05:00:00,300,0
2024-06-23 06:00:00,14,377
2024-06-23 07:00:00,5,7
2024-06-23 08:00:00,8,1
2024-06-23 10:00:00,0,48
2024-06-23 10:00:00,0,48
2024-06-23 14:00:00,40,18
2024-06-23 14:00:00,40,18
2024-06-23 14:00:00,40,18
2024-06-23 14:00:00,40,18
2024-06-23 15:00:00,21,0
2024-06-23 16:00:00,252,26
2024-06-23 17:00:00,53,0
2024-06-23 18:00:00,0,56
2024-06-23 19:00:00,143,0
2024-06-23 20:00:00,1193,0
2024-06-23 21:00:00,757,0
2024-06-23 22:00:00,1801,0
2024-06-23 23:00:00,1,128
2024-06-24 00:00:00,3,397
2024-06-24 01:00:00,97,62
2024-06-24 02:00:00,1193,0
2024-06-24 03:00:00,282,231
2024-06-24 04:00:00,867,0
2024-06-24 05:00:00,887,77
2024-06-24 06:00:00,604,189
2024-06-24 07:00:00,5979,41
2024-06-24 08:00:00,1535,134
2024-06-24 09:00:00,338,62
2024-06-24 10:00:00,887,28
2024-06-24 11:00:00,7607,72
2024-06-24 12:00:00,35,530
2024-06-24 13:00:00,2,168
